IncomeCategory,Date,HighestInfected
Lower middle income,08-12-2022,96852718
Low income,08-12-2022,2260272
High income,07-12-2022,406829935
Middle Class Income,07-12-2022,140987834
Lower middle income,07-12-2022,96841887
Low income,07-12-2022,2260104
High income,06-12-2022,406279305
Middle Class Income,06-12-2022,140913643
Lower middle income,06-12-2022,96833948
Low income,06-12-2022,2259557
High income,05-12-2022,405703683
Middle Class Income,05-12-2022,140871922
Lower middle income,05-12-2022,96827040
Low income,05-12-2022,2259363
High income,04-12-2022,405322340
Middle Class Income,04-12-2022,140753737
Lower middle income,04-12-2022,96822017
Low income,04-12-2022,2258921
High income,03-12-2022,405136412
Middle Class Income,03-12-2022,140687653
Lower middle income,03-12-2022,96817315
Low income,03-12-2022,2258597
High income,02-12-2022,404930811
Middle Class Income,02-12-2022,140600188
Lower middle income,02-12-2022,96810653
Low income,02-12-2022,2258545
High income,01-12-2022,404308237
Middle Class Income,01-12-2022,140474088
Lower middle income,01-12-2022,96797894
Low income,01-12-2022,2258438
High income,30-11-2022,403757625
Middle Class Income,30-11-2022,140328078
Lower middle income,30-11-2022,96788859
Low income,30-11-2022,2258202
High income,29-11-2022,403266632
Middle Class Income,29-11-2022,140293721
Lower middle income,29-11-2022,96779047
Low income,29-11-2022,2257751
High income,28-11-2022,402716459
Middle Class Income,28-11-2022,140122967
Lower middle income,28-11-2022,96769676
Low income,28-11-2022,2257365
High income,27-11-2022,402369365
Middle Class Income,27-11-2022,140071122
Lower middle income,27-11-2022,96763413
Low income,27-11-2022,2256763
High income,26-11-2022,402179676
Middle Class Income,26-11-2022,140004183
Lower middle income,26-11-2022,96756682
Low income,26-11-2022,2256725
High income,25-11-2022,401962758
Middle Class Income,25-11-2022,139959233
Lower middle income,25-11-2022,96748069
Low income,25-11-2022,2256642
High income,24-11-2022,401369993
Middle Class Income,24-11-2022,139863492
Lower middle income,24-11-2022,96738714
Low income,24-11-2022,2256584
High income,23-11-2022,401010729
Middle Class Income,23-11-2022,139812803
Lower middle income,23-11-2022,96728683
Low income,23-11-2022,2256364
High income,22-11-2022,400560072
Middle Class Income,22-11-2022,139691238
Lower middle income,22-11-2022,96710530
Low income,22-11-2022,2256096
High income,21-11-2022,400075348
Middle Class Income,21-11-2022,139613075
Lower middle income,21-11-2022,96699376
Low income,21-11-2022,2255905
High income,20-11-2022,399779990
Middle Class Income,20-11-2022,139574097
Lower middle income,20-11-2022,96692238
Low income,20-11-2022,2255724
High income,19-11-2022,399611480
Middle Class Income,19-11-2022,139527988
Lower middle income,19-11-2022,96684770
Low income,19-11-2022,2255406
High income,18-11-2022,399427100
Middle Class Income,18-11-2022,139473855
Lower middle income,18-11-2022,96675999
Low income,18-11-2022,2255361
High income,17-11-2022,398881572
Middle Class Income,17-11-2022,139403831
Lower middle income,17-11-2022,96661510
Low income,17-11-2022,2254943
High income,16-11-2022,398463940
Middle Class Income,16-11-2022,139352867
Lower middle income,16-11-2022,96651056
Low income,16-11-2022,2254750
High income,15-11-2022,398080387
Middle Class Income,15-11-2022,139269430
Lower middle income,15-11-2022,96632039
Low income,15-11-2022,2254563
High income,14-11-2022,397620835
Middle Class Income,14-11-2022,139236998
Lower middle income,14-11-2022,96620548
Low income,14-11-2022,2254300
High income,13-11-2022,397319444
Middle Class Income,13-11-2022,139209986
Lower middle income,13-11-2022,96602775
Low income,13-11-2022,2253916
High income,12-11-2022,397160190
Middle Class Income,12-11-2022,139193973
Lower middle income,12-11-2022,96594707
Low income,12-11-2022,2253747
High income,11-11-2022,396963303
Middle Class Income,11-11-2022,139157569
Lower middle income,11-11-2022,96585534
Low income,11-11-2022,2253706
High income,10-11-2022,396530489
Middle Class Income,10-11-2022,139111924
Lower middle income,10-11-2022,96575779
Low income,10-11-2022,2253551
High income,09-11-2022,396136869
Middle Class Income,09-11-2022,139058931
Lower middle income,09-11-2022,96562541
Low income,09-11-2022,2253121
High income,08-11-2022,395742828
Middle Class Income,08-11-2022,139028444
Lower middle income,08-11-2022,96553145
Low income,08-11-2022,2252952
High income,07-11-2022,395321402
Middle Class Income,07-11-2022,139008159
Lower middle income,07-11-2022,96544379
Low income,07-11-2022,2252663
High income,06-11-2022,395047531
Middle Class Income,06-11-2022,138984189
Lower middle income,06-11-2022,96537963
Low income,06-11-2022,2252308
High income,05-11-2022,394881853
Middle Class Income,05-11-2022,138969708
Lower middle income,05-11-2022,96531653
Low income,05-11-2022,2252158
High income,04-11-2022,394710568
Middle Class Income,04-11-2022,138947945
Lower middle income,04-11-2022,96523491
Low income,04-11-2022,2252066
High income,03-11-2022,394303371
Middle Class Income,03-11-2022,138919693
Lower middle income,03-11-2022,96515101
Low income,03-11-2022,2251768
High income,02-11-2022,393864601
Middle Class Income,02-11-2022,138892065
Lower middle income,02-11-2022,96488126
Low income,02-11-2022,2251627
High income,01-11-2022,393542754
Middle Class Income,01-11-2022,138873996
Lower middle income,01-11-2022,96480395
Low income,01-11-2022,2250968
High income,31-10-2022,393174890
Middle Class Income,31-10-2022,138848583
Lower middle income,31-10-2022,96472117
Low income,31-10-2022,2250844
High income,30-10-2022,392910714
Middle Class Income,30-10-2022,138819150
Lower middle income,30-10-2022,96465735
Low income,30-10-2022,2250507
High income,29-10-2022,392770254
Middle Class Income,29-10-2022,138798900
Lower middle income,29-10-2022,96459344
Low income,29-10-2022,2250293
High income,28-10-2022,392592964
Middle Class Income,28-10-2022,138784174
Lower middle income,28-10-2022,96452353
Low income,28-10-2022,2250205
High income,27-10-2022,392255955
Middle Class Income,27-10-2022,138767632
Lower middle income,27-10-2022,96442635
Low income,27-10-2022,2249966
High income,26-10-2022,391818158
Middle Class Income,26-10-2022,138743781
Lower middle income,26-10-2022,96433617
Low income,26-10-2022,2249825
High income,25-10-2022,391382368
Middle Class Income,25-10-2022,138720402
Lower middle income,25-10-2022,96426093
Low income,25-10-2022,2249562
High income,24-10-2022,390844515
Middle Class Income,24-10-2022,138686821
Lower middle income,24-10-2022,96402759
Low income,24-10-2022,2249364
High income,23-10-2022,390485007
Middle Class Income,23-10-2022,138669081
Lower middle income,23-10-2022,96394355
Low income,23-10-2022,2248998
High income,22-10-2022,390348608
Middle Class Income,22-10-2022,138650573
Lower middle income,22-10-2022,96388584
Low income,22-10-2022,2248880
High income,21-10-2022,390188657
Middle Class Income,21-10-2022,138635533
Lower middle income,21-10-2022,96381355
Low income,21-10-2022,2248765
High income,20-10-2022,389792791
Middle Class Income,20-10-2022,138609024
Lower middle income,20-10-2022,96373392
Low income,20-10-2022,2248510
High income,19-10-2022,389226621
Middle Class Income,19-10-2022,138588593
Lower middle income,19-10-2022,96364962
Low income,19-10-2022,2248234
High income,18-10-2022,388751484
Middle Class Income,18-10-2022,138545409
Lower middle income,18-10-2022,96355585
Low income,18-10-2022,2248153
High income,17-10-2022,388172287
Middle Class Income,17-10-2022,138526628
Lower middle income,17-10-2022,96325083
Low income,17-10-2022,2247896
High income,16-10-2022,387800657
Middle Class Income,16-10-2022,138508686
Lower middle income,16-10-2022,96238647
Low income,16-10-2022,2247390
High income,15-10-2022,387635588
Middle Class Income,15-10-2022,138489172
Lower middle income,15-10-2022,96231216
Low income,15-10-2022,2247256
High income,14-10-2022,387449983
Middle Class Income,14-10-2022,138465362
Lower middle income,14-10-2022,96222649
Low income,14-10-2022,2247150
High income,13-10-2022,387013528
Middle Class Income,13-10-2022,138435928
Lower middle income,13-10-2022,96213931
Low income,13-10-2022,2246903
High income,12-10-2022,386395219
Middle Class Income,12-10-2022,138401537
Lower middle income,12-10-2022,96203965
Low income,12-10-2022,2246753
High income,11-10-2022,385880470
Middle Class Income,11-10-2022,138378175
Lower middle income,11-10-2022,96192081
Low income,11-10-2022,2246593
High income,10-10-2022,385236235
Middle Class Income,10-10-2022,138340663
Lower middle income,10-10-2022,96184077
Low income,10-10-2022,2246244
High income,09-10-2022,384858509
Middle Class Income,09-10-2022,138273324
Lower middle income,09-10-2022,96175706
Low income,09-10-2022,2245996
High income,08-10-2022,384696315
Middle Class Income,08-10-2022,138223820
Lower middle income,08-10-2022,96168670
Low income,08-10-2022,2245796
High income,07-10-2022,384513675
Middle Class Income,07-10-2022,138195979
Lower middle income,07-10-2022,96160241
Low income,07-10-2022,2245702
High income,06-10-2022,383985536
Middle Class Income,06-10-2022,138160684
Lower middle income,06-10-2022,96149325
Low income,06-10-2022,2245492
High income,05-10-2022,383399167
Middle Class Income,05-10-2022,138119436
Lower middle income,05-10-2022,96136720
Low income,05-10-2022,2245159
High income,04-10-2022,382880411
Middle Class Income,04-10-2022,138068427
Lower middle income,04-10-2022,96124095
Low income,04-10-2022,2244930
High income,03-10-2022,382320565
Middle Class Income,03-10-2022,138037358
Lower middle income,03-10-2022,96115074
Low income,03-10-2022,2244752
High income,02-10-2022,382055938
Middle Class Income,02-10-2022,137994373
Lower middle income,02-10-2022,96103250
Low income,02-10-2022,2244239
High income,01-10-2022,381899415
Middle Class Income,01-10-2022,137958806
Lower middle income,01-10-2022,96094797
Low income,01-10-2022,2244081
High income,30-09-2022,381716870
Middle Class Income,30-09-2022,137912020
Lower middle income,30-09-2022,96083399
Low income,30-09-2022,2243917
High income,29-09-2022,381323622
Middle Class Income,29-09-2022,137844803
Lower middle income,29-09-2022,96071594
Low income,29-09-2022,2243633
High income,28-09-2022,380791670
Middle Class Income,28-09-2022,137789039
Lower middle income,28-09-2022,96015632
Low income,28-09-2022,2243251
High income,27-09-2022,380320236
Middle Class Income,27-09-2022,137722771
Lower middle income,27-09-2022,96003491
Low income,27-09-2022,2243068
High income,26-09-2022,379789580
Middle Class Income,26-09-2022,137666018
Lower middle income,26-09-2022,95992180
Low income,26-09-2022,2242261
High income,25-09-2022,379442135
Middle Class Income,25-09-2022,137601771
Lower middle income,25-09-2022,95981348
Low income,25-09-2022,2242026
High income,24-09-2022,379290621
Middle Class Income,24-09-2022,137542873
Lower middle income,24-09-2022,95969101
Low income,24-09-2022,2241785
High income,23-09-2022,379120337
Middle Class Income,23-09-2022,137461608
Lower middle income,23-09-2022,95956483
Low income,23-09-2022,2241666
High income,22-09-2022,378728364
Middle Class Income,22-09-2022,137386971
Lower middle income,22-09-2022,95905548
Low income,22-09-2022,2241440
High income,21-09-2022,378232352
Middle Class Income,21-09-2022,137279040
Lower middle income,21-09-2022,95890290
Low income,21-09-2022,2241108
High income,20-09-2022,377800850
Middle Class Income,20-09-2022,137210558
Lower middle income,20-09-2022,95872993
Low income,20-09-2022,2240727
High income,19-09-2022,377331288
Middle Class Income,19-09-2022,137140241
Lower middle income,19-09-2022,95859624
Low income,19-09-2022,2240397
High income,18-09-2022,377010911
Middle Class Income,18-09-2022,137057783
Lower middle income,18-09-2022,95845987
Low income,18-09-2022,2239909
High income,17-09-2022,376843208
Middle Class Income,17-09-2022,136984093
Lower middle income,17-09-2022,95833073
Low income,17-09-2022,2239687
High income,16-09-2022,376637263
Middle Class Income,16-09-2022,136909661
Lower middle income,16-09-2022,95818610
Low income,16-09-2022,2239479
High income,15-09-2022,376267354
Middle Class Income,15-09-2022,136841380
Lower middle income,15-09-2022,95801436
Low income,15-09-2022,2239233
High income,14-09-2022,375776450
Middle Class Income,14-09-2022,136763465
Lower middle income,14-09-2022,95760052
Low income,14-09-2022,2238493
High income,13-09-2022,375179896
Middle Class Income,13-09-2022,136679867
Lower middle income,13-09-2022,95742356
Low income,13-09-2022,2237969
High income,12-09-2022,374728063
Middle Class Income,12-09-2022,136603191
Lower middle income,12-09-2022,95723135
Low income,12-09-2022,2237210
High income,11-09-2022,374383579
Middle Class Income,11-09-2022,136474771
Lower middle income,11-09-2022,95711291
Low income,11-09-2022,2236845
High income,10-09-2022,374186733
Middle Class Income,10-09-2022,136371602
Lower middle income,10-09-2022,95697479
Low income,10-09-2022,2236439
High income,09-09-2022,373966150
Middle Class Income,09-09-2022,136295452
Lower middle income,09-09-2022,95681441
Low income,09-09-2022,2236127
High income,08-09-2022,373563746
Middle Class Income,08-09-2022,136190457
Lower middle income,08-09-2022,95663583
Low income,08-09-2022,2235709
High income,07-09-2022,373063111
Middle Class Income,07-09-2022,136125750
Lower middle income,07-09-2022,95645556
Low income,07-09-2022,2235247
High income,06-09-2022,372537156
Middle Class Income,06-09-2022,136058895
Lower middle income,06-09-2022,95622983
Low income,06-09-2022,2234449
High income,05-09-2022,371961391
Middle Class Income,05-09-2022,135993305
Lower middle income,05-09-2022,95590765
Low income,05-09-2022,2233964
High income,04-09-2022,371602373
Middle Class Income,04-09-2022,135911745
Lower middle income,04-09-2022,95574024
Low income,04-09-2022,2233578
High income,03-09-2022,371370600
Middle Class Income,03-09-2022,135789116
Lower middle income,03-09-2022,95558729
Low income,03-09-2022,2232947
High income,02-09-2022,371075228
Middle Class Income,02-09-2022,135725997
Lower middle income,02-09-2022,95541133
Low income,02-09-2022,2232451
High income,01-09-2022,370620602
Middle Class Income,01-09-2022,135542213
Lower middle income,01-09-2022,95522698
Low income,01-09-2022,2231920
High income,31-08-2022,370061003
Middle Class Income,31-08-2022,135458039
Lower middle income,31-08-2022,95487380
Low income,31-08-2022,2231439
High income,30-08-2022,369426492
Middle Class Income,30-08-2022,135373563
Lower middle income,30-08-2022,95453501
Low income,30-08-2022,2230998
High income,29-08-2022,368794849
Middle Class Income,29-08-2022,135290041
Lower middle income,29-08-2022,95420830
Low income,29-08-2022,2230696
High income,28-08-2022,368317533
Middle Class Income,28-08-2022,135204666
Lower middle income,28-08-2022,95407338
Low income,28-08-2022,2229669
High income,27-08-2022,368028683
Middle Class Income,27-08-2022,135106999
Lower middle income,27-08-2022,95388248
Low income,27-08-2022,2229123
High income,26-08-2022,367661120
Middle Class Income,26-08-2022,135045028
Lower middle income,26-08-2022,95365277
Low income,26-08-2022,2229064
High income,25-08-2022,367071417
Middle Class Income,25-08-2022,134959650
Lower middle income,25-08-2022,95338381
Low income,25-08-2022,2228871
High income,24-08-2022,366360627
Middle Class Income,24-08-2022,134844847
Lower middle income,24-08-2022,95299647
Low income,24-08-2022,2228322
High income,23-08-2022,365637206
Middle Class Income,23-08-2022,134715369
Lower middle income,23-08-2022,95268760
Low income,23-08-2022,2227594
High income,22-08-2022,364878967
Middle Class Income,22-08-2022,134614167
Lower middle income,22-08-2022,95239379
Low income,22-08-2022,2227203
High income,21-08-2022,364276751
Middle Class Income,21-08-2022,134534230
Lower middle income,21-08-2022,95211466
Low income,21-08-2022,2226116
High income,20-08-2022,363900486
Middle Class Income,20-08-2022,134451564
Lower middle income,20-08-2022,95186235
Low income,20-08-2022,2225831
High income,19-08-2022,363429586
Middle Class Income,19-08-2022,134379007
Lower middle income,19-08-2022,95155664
Low income,19-08-2022,2225582
High income,18-08-2022,362754241
Middle Class Income,18-08-2022,134293543
Lower middle income,18-08-2022,95115574
Low income,18-08-2022,2224922
High income,17-08-2022,361968592
Middle Class Income,17-08-2022,134170699
Lower middle income,17-08-2022,95079832
Low income,17-08-2022,2224516
High income,16-08-2022,361110862
Middle Class Income,16-08-2022,134074785
Lower middle income,16-08-2022,95043682
Low income,16-08-2022,2223908
High income,15-08-2022,360325178
Middle Class Income,15-08-2022,133814241
Lower middle income,15-08-2022,95007622
Low income,15-08-2022,2222930
High income,14-08-2022,359831428
Middle Class Income,14-08-2022,133488834
Lower middle income,14-08-2022,94971645
Low income,14-08-2022,2222358
High income,13-08-2022,359493730
Middle Class Income,13-08-2022,133403115
Lower middle income,13-08-2022,94934714
Low income,13-08-2022,2222028
High income,12-08-2022,359001523
Middle Class Income,12-08-2022,133293801
Lower middle income,12-08-2022,94900010
Low income,12-08-2022,2221836
High income,11-08-2022,358378397
Middle Class Income,11-08-2022,133205930
Lower middle income,11-08-2022,94859172
Low income,11-08-2022,2220820
High income,10-08-2022,357568638
Middle Class Income,10-08-2022,133065265
Lower middle income,10-08-2022,94805010
Low income,10-08-2022,2220284
High income,09-08-2022,356666460
Middle Class Income,09-08-2022,132990176
Lower middle income,09-08-2022,94756389
Low income,09-08-2022,2219372
High income,08-08-2022,355773190
Middle Class Income,08-08-2022,132881148
Lower middle income,08-08-2022,94719006
Low income,08-08-2022,2218761
High income,07-08-2022,355090562
Middle Class Income,07-08-2022,132812098
Lower middle income,07-08-2022,94655090
Low income,07-08-2022,2217633
High income,06-08-2022,354711340
Middle Class Income,06-08-2022,132716261
Lower middle income,06-08-2022,94633096
Low income,06-08-2022,2216891
High income,05-08-2022,354235281
Middle Class Income,05-08-2022,132206829
Lower middle income,05-08-2022,94440636
Low income,05-08-2022,2216687
High income,04-08-2022,353483108
Middle Class Income,04-08-2022,132113136
Lower middle income,04-08-2022,94387335
Low income,04-08-2022,2214943
High income,03-08-2022,352612861
Middle Class Income,03-08-2022,131989526
Lower middle income,03-08-2022,93927781
Low income,03-08-2022,2214398
High income,02-08-2022,351655707
Middle Class Income,02-08-2022,131847529
Lower middle income,02-08-2022,93872166
Low income,02-08-2022,2213764
High income,01-08-2022,350660727
Middle Class Income,01-08-2022,131724304
Lower middle income,01-08-2022,93802397
Low income,01-08-2022,2211148
High income,31-07-2022,349940135
Middle Class Income,31-07-2022,131608642
Lower middle income,31-07-2022,93765550
Low income,31-07-2022,2210704
High income,30-07-2022,349560245
Middle Class Income,30-07-2022,131486911
Lower middle income,30-07-2022,93723007
Low income,30-07-2022,2210330
High income,29-07-2022,349091099
Middle Class Income,29-07-2022,131423469
Lower middle income,29-07-2022,93679797
Low income,29-07-2022,2210088
High income,28-07-2022,348257602
Middle Class Income,28-07-2022,130939512
Lower middle income,28-07-2022,93623229
Low income,28-07-2022,2209164
High income,27-07-2022,347333182
Middle Class Income,27-07-2022,130808514
Lower middle income,27-07-2022,93563809
Low income,27-07-2022,2208304
High income,26-07-2022,346142502
Middle Class Income,26-07-2022,130641776
Lower middle income,26-07-2022,93495393
Low income,26-07-2022,2207880
High income,25-07-2022,345164518
Middle Class Income,25-07-2022,130501315
Lower middle income,25-07-2022,93418202
Low income,25-07-2022,2206832
High income,24-07-2022,344328755
Middle Class Income,24-07-2022,130410673
Lower middle income,24-07-2022,93372912
Low income,24-07-2022,2204720
High income,23-07-2022,343942950
Middle Class Income,23-07-2022,130287761
Lower middle income,23-07-2022,93331271
Low income,23-07-2022,2204230
High income,22-07-2022,343468881
Middle Class Income,22-07-2022,130171909
Lower middle income,22-07-2022,93285000
Low income,22-07-2022,2203877
High income,21-07-2022,342565482
Middle Class Income,21-07-2022,130034512
Lower middle income,21-07-2022,93231703
Low income,21-07-2022,2203484
High income,20-07-2022,341646274
Middle Class Income,20-07-2022,129854694
Lower middle income,20-07-2022,93177796
Low income,20-07-2022,2202646
High income,19-07-2022,340537329
Middle Class Income,19-07-2022,129424244
Lower middle income,19-07-2022,93116019
Low income,19-07-2022,2202110
High income,18-07-2022,339218022
Middle Class Income,18-07-2022,129274071
Lower middle income,18-07-2022,93042241
Low income,18-07-2022,2200570
High income,17-07-2022,338163619
Middle Class Income,17-07-2022,129172352
Lower middle income,17-07-2022,93000499
Low income,17-07-2022,2199994
High income,16-07-2022,337824920
Middle Class Income,16-07-2022,129088395
Lower middle income,16-07-2022,92964458
Low income,16-07-2022,2199472
High income,15-07-2022,337431964
Middle Class Income,15-07-2022,128974391
Lower middle income,15-07-2022,92919033
Low income,15-07-2022,2199098
High income,14-07-2022,336692131
Middle Class Income,14-07-2022,128758833
Lower middle income,14-07-2022,92874809
Low income,14-07-2022,2197519
High income,13-07-2022,335897067
Middle Class Income,13-07-2022,128598601
Lower middle income,13-07-2022,92828470
Low income,13-07-2022,2197100
High income,12-07-2022,334792744
Middle Class Income,12-07-2022,128321762
Lower middle income,12-07-2022,92783681
Low income,12-07-2022,2196707
High income,11-07-2022,333757918
Middle Class Income,11-07-2022,128185877
Lower middle income,11-07-2022,92731851
Low income,11-07-2022,2196203
High income,10-07-2022,332819045
Middle Class Income,10-07-2022,128097992
Lower middle income,10-07-2022,92705773
Low income,10-07-2022,2195365
High income,09-07-2022,332532237
Middle Class Income,09-07-2022,127997269
Lower middle income,09-07-2022,92671578
Low income,09-07-2022,2194457
High income,08-07-2022,332199369
Middle Class Income,08-07-2022,127859694
Lower middle income,08-07-2022,92638840
Low income,08-07-2022,2194107
High income,07-07-2022,331348849
Middle Class Income,07-07-2022,127750772
Lower middle income,07-07-2022,92594063
Low income,07-07-2022,2193322
High income,06-07-2022,330498492
Middle Class Income,06-07-2022,127587361
Lower middle income,06-07-2022,92556137
Low income,06-07-2022,2192152
High income,05-07-2022,329468585
Middle Class Income,05-07-2022,127445988
Lower middle income,05-07-2022,92502608
Low income,05-07-2022,2191314
High income,04-07-2022,328434266
Middle Class Income,04-07-2022,127305028
Lower middle income,04-07-2022,92473660
Low income,04-07-2022,2190836
High income,03-07-2022,327746608
Middle Class Income,03-07-2022,127171149
Lower middle income,03-07-2022,92443821
Low income,03-07-2022,2190314
High income,02-07-2022,327518494
Middle Class Income,02-07-2022,127069590
Lower middle income,02-07-2022,92416424
Low income,02-07-2022,2189117
High income,01-07-2022,327249427
Middle Class Income,01-07-2022,127008817
Lower middle income,01-07-2022,92387646
Low income,01-07-2022,2188532
High income,30-06-2022,326458653
Middle Class Income,30-06-2022,126882945
Lower middle income,30-06-2022,92355776
Low income,30-06-2022,2187171
High income,29-06-2022,325662707
Middle Class Income,29-06-2022,126636273
Lower middle income,29-06-2022,92321719
Low income,29-06-2022,2185979
High income,28-06-2022,324836697
Middle Class Income,28-06-2022,126573503
Lower middle income,28-06-2022,92279510
Low income,28-06-2022,2185168
High income,27-06-2022,324043815
Middle Class Income,27-06-2022,126455227
Lower middle income,27-06-2022,92249534
Low income,27-06-2022,2184317
High income,26-06-2022,323332443
Middle Class Income,26-06-2022,126317403
Lower middle income,26-06-2022,92226909
Low income,26-06-2022,2183492
High income,25-06-2022,323122963
Middle Class Income,25-06-2022,126268241
Lower middle income,25-06-2022,92199803
Low income,25-06-2022,2182661
High income,24-06-2022,322883160
Middle Class Income,24-06-2022,126214356
Lower middle income,24-06-2022,92177420
Low income,24-06-2022,2182011
High income,23-06-2022,322233923
Middle Class Income,23-06-2022,126117264
Lower middle income,23-06-2022,92147380
Low income,23-06-2022,2181083
High income,22-06-2022,321610746
Middle Class Income,22-06-2022,125987967
Lower middle income,22-06-2022,92118446
Low income,22-06-2022,2179173
High income,21-06-2022,320927032
Middle Class Income,21-06-2022,125892827
Lower middle income,21-06-2022,92092838
Low income,21-06-2022,2178003
High income,20-06-2022,320237361
Middle Class Income,20-06-2022,125796545
Lower middle income,20-06-2022,92063643
Low income,20-06-2022,2176936
High income,19-06-2022,319661703
Middle Class Income,19-06-2022,125637196
Lower middle income,19-06-2022,92045682
Low income,19-06-2022,2175456
High income,18-06-2022,319477123
Middle Class Income,18-06-2022,125574176
Lower middle income,18-06-2022,92026147
Low income,18-06-2022,2174179
High income,17-06-2022,319281606
Middle Class Income,17-06-2022,125561693
Lower middle income,17-06-2022,92006794
Low income,17-06-2022,2173048
High income,16-06-2022,318794418
Middle Class Income,16-06-2022,125539852
Lower middle income,16-06-2022,91984416
Low income,16-06-2022,2171409
High income,15-06-2022,318272079
Middle Class Income,15-06-2022,125500691
Lower middle income,15-06-2022,91964911
Low income,15-06-2022,2169865
High income,14-06-2022,317666594
Middle Class Income,14-06-2022,125404942
Lower middle income,14-06-2022,91945568
Low income,14-06-2022,2168393
High income,13-06-2022,316942516
Middle Class Income,13-06-2022,125289661
Lower middle income,13-06-2022,91929282
Low income,13-06-2022,2166973
High income,12-06-2022,316521864
Middle Class Income,12-06-2022,125233210
Lower middle income,12-06-2022,91879769
Low income,12-06-2022,2165639
High income,11-06-2022,316361346
Middle Class Income,11-06-2022,125207965
Lower middle income,11-06-2022,91868244
Low income,11-06-2022,2164792
High income,10-06-2022,316142983
Middle Class Income,10-06-2022,125158230
Lower middle income,10-06-2022,91853731
Low income,10-06-2022,2163772
High income,09-06-2022,315683565
Middle Class Income,09-06-2022,125075666
Lower middle income,09-06-2022,91841207
Low income,09-06-2022,2161869
High income,08-06-2022,315201963
Middle Class Income,08-06-2022,125005376
Lower middle income,08-06-2022,91829520
Low income,08-06-2022,2160715
High income,07-06-2022,314578409
Middle Class Income,07-06-2022,124934951
Lower middle income,07-06-2022,91818013
Low income,07-06-2022,2159564
High income,06-06-2022,314071124
Middle Class Income,06-06-2022,124841482
Lower middle income,06-06-2022,91807925
Low income,06-06-2022,2158526
High income,05-06-2022,313724154
Middle Class Income,05-06-2022,124765290
Lower middle income,05-06-2022,91798339
Low income,05-06-2022,2156492
High income,04-06-2022,313537246
Middle Class Income,04-06-2022,124698960
